impression_id,user_id,campaign_id,campaign_name,channel,event_timestamp,impression_cost,advertiser_id,creative_id,placement_id,device_type,country,is_bot
imp_001,user_1024,SEM_Q1,Search Q1,Search,2024-01-15 08:23:45,2.50,adv_netflix_001,creative_search_001,google_search,desktop,US,false
imp_002,user_2048,DSP_Awareness,Display Awareness,Display,2024-01-15 09:12:30,0.75,adv_netflix_001,creative_display_001,iab_300x250,mobile,US,false
imp_003,user_3072,YouTube_Preroll,YouTube Preroll,Video,2024-01-15 10:45:00,1.20,adv_netflix_001,creative_video_001,youtube_instream,desktop,US,false
imp_004,user_4096,Facebook_Feed,Facebook Feed,Social,2024-01-15 11:30:15,0.50,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_005,user_5120,SEM_Q2,Search Q2,Search,2024-01-15 12:15:45,2.75,adv_netflix_001,creative_search_002,google_search,mobile,US,false
imp_006,user_6144,DSP_Retargeting,Display Retargeting,Display,2024-01-15 13:20:00,1.00,adv_netflix_001,creative_display_002,iab_728x90,desktop,US,false
imp_007,user_7168,YouTube_Discovery,YouTube Discovery,Video,2024-01-15 14:30:30,0.90,adv_netflix_001,creative_video_002,youtube_discovery,mobile,US,false
imp_008,user_8192,Instagram_Stories,Instagram Stories,Social,2024-01-15 15:45:00,0.55,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
imp_009,user_1024,DSP_Awareness,Display Awareness,Display,2024-01-16 08:10:15,0.80,adv_netflix_001,creative_display_001,iab_300x250,desktop,US,false
imp_010,user_2048,SEM_Q1,Search Q1,Search,2024-01-16 09:30:45,2.60,adv_netflix_001,creative_search_001,google_search,mobile,US,false
imp_011,user_9216,YouTube_Preroll,YouTube Preroll,Video,2024-01-16 10:15:00,1.15,adv_netflix_001,creative_video_001,youtube_instream,tablet,US,false
imp_012,user_10240,Facebook_Feed,Facebook Feed,Social,2024-01-16 11:20:30,0.48,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_013,user_11264,DSP_Retargeting,Display Retargeting,Display,2024-01-16 12:45:00,1.05,adv_netflix_001,creative_display_002,iab_728x90,desktop,US,false
imp_014,user_12288,SEM_Q2,Search Q2,Search,2024-01-16 13:30:15,2.80,adv_netflix_001,creative_search_002,google_search,desktop,US,false
imp_015,user_13312,Instagram_Stories,Instagram Stories,Social,2024-01-16 14:50:45,0.52,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
imp_016,user_14336,YouTube_Discovery,YouTube Discovery,Video,2024-01-16 15:25:00,0.95,adv_netflix_001,creative_video_002,youtube_discovery,desktop,US,false
imp_017,user_15360,SEM_Q1,Search Q1,Search,2024-01-17 08:35:30,2.65,adv_netflix_001,creative_search_001,google_search,tablet,US,false
imp_018,user_16384,DSP_Awareness,Display Awareness,Display,2024-01-17 09:45:00,0.85,adv_netflix_001,creative_display_001,iab_300x250,mobile,US,false
imp_019,user_17408,YouTube_Preroll,YouTube Preroll,Video,2024-01-17 10:30:15,1.25,adv_netflix_001,creative_video_001,youtube_instream,mobile,US,false
imp_020,user_18432,Facebook_Feed,Facebook Feed,Social,2024-01-17 11:15:45,0.50,adv_netflix_001,creative_social_001,facebook_feed,desktop,US,false
imp_021,user_19456,SEM_Q2,Search Q2,Search,2024-01-17 12:40:00,2.70,adv_netflix_001,creative_search_002,google_search,mobile,US,false
imp_022,user_20480,DSP_Retargeting,Display Retargeting,Display,2024-01-17 13:25:30,1.10,adv_netflix_001,creative_display_002,iab_728x90,tablet,US,false
imp_023,user_21504,YouTube_Discovery,YouTube Discovery,Video,2024-01-17 14:20:00,0.88,adv_netflix_001,creative_video_002,youtube_discovery,mobile,US,false
imp_024,user_22528,Instagram_Stories,Instagram Stories,Social,2024-01-17 15:35:45,0.58,adv_netflix_001,creative_social_002,instagram_stories,desktop,US,false
imp_025,user_23552,SEM_Q1,Search Q1,Search,2024-01-18 08:20:00,2.55,adv_netflix_001,creative_search_001,google_search,desktop,US,false
imp_026,user_24576,DSP_Awareness,Display Awareness,Display,2024-01-18 09:35:15,0.82,adv_netflix_001,creative_display_001,iab_300x250,mobile,US,false
imp_027,user_25600,YouTube_Preroll,YouTube Preroll,Video,2024-01-18 10:50:30,1.18,adv_netflix_001,creative_video_001,youtube_instream,desktop,US,false
imp_028,user_26624,Facebook_Feed,Facebook Feed,Social,2024-01-18 11:40:00,0.52,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_029,user_27648,SEM_Q2,Search Q2,Search,2024-01-18 12:25:45,2.75,adv_netflix_001,creative_search_002,google_search,tablet,US,false
imp_030,user_28672,DSP_Retargeting,Display Retargeting,Display,2024-01-18 13:30:00,1.02,adv_netflix_001,creative_display_002,iab_728x90,mobile,US,false
imp_031,user_29696,YouTube_Discovery,YouTube Discovery,Video,2024-01-18 14:15:45,0.92,adv_netflix_001,creative_video_002,youtube_discovery,desktop,US,false
imp_032,user_30720,Instagram_Stories,Instagram Stories,Social,2024-01-18 15:45:15,0.56,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
imp_033,user_31744,SEM_Q1,Search Q1,Search,2024-01-19 08:30:45,2.62,adv_netflix_001,creative_search_001,google_search,mobile,US,false
imp_034,user_32768,DSP_Awareness,Display Awareness,Display,2024-01-19 09:50:00,0.78,adv_netflix_001,creative_display_001,iab_300x250,desktop,US,false
imp_035,user_33792,YouTube_Preroll,YouTube Preroll,Video,2024-01-19 10:20:15,1.22,adv_netflix_001,creative_video_001,youtube_instream,mobile,US,false
imp_036,user_34816,Facebook_Feed,Facebook Feed,Social,2024-01-19 11:35:30,0.51,adv_netflix_001,creative_social_001,facebook_feed,tablet,US,false
imp_037,user_35840,SEM_Q2,Search Q2,Search,2024-01-19 12:45:00,2.72,adv_netflix_001,creative_search_002,google_search,desktop,US,false
imp_038,user_36864,DSP_Retargeting,Display Retargeting,Display,2024-01-19 13:40:30,1.08,adv_netflix_001,creative_display_002,iab_728x90,mobile,US,false
imp_039,user_37888,YouTube_Discovery,YouTube Discovery,Video,2024-01-19 14:25:45,0.89,adv_netflix_001,creative_video_002,youtube_discovery,desktop,US,false
imp_040,user_38912,Instagram_Stories,Instagram Stories,Social,2024-01-19 15:50:00,0.54,adv_netflix_001,creative_social_002,instagram_stories,mobile,US,false
imp_041,user_39936,SEM_Q1,Search Q1,Search,2024-01-20 08:15:30,2.68,adv_netflix_001,creative_search_001,google_search,tablet,US,false
imp_042,user_40960,DSP_Awareness,Display Awareness,Display,2024-01-20 09:25:00,0.80,adv_netflix_001,creative_display_001,iab_300x250,mobile,US,false
imp_043,user_41984,YouTube_Preroll,YouTube Preroll,Video,2024-01-20 10:40:15,1.20,adv_netflix_001,creative_video_001,youtube_instream,desktop,US,false
imp_044,user_43008,Facebook_Feed,Facebook Feed,Social,2024-01-20 11:30:45,0.49,adv_netflix_001,creative_social_001,facebook_feed,mobile,US,false
imp_045,user_44032,SEM_Q2,Search Q2,Search,2024-01-20 12:50:00,2.78,adv_netflix_001,creative_search_002,google_search,desktop,US,false
imp_046,user_45056,DSP_Retargeting,Display Retargeting,Display,2024-01-20 13:35:30,1.03,adv_netflix_001,creative_display_002,iab_728x90,tablet,US,false
imp_047,user_46080,YouTube_Discovery,YouTube Discovery,Video,2024-01-20 14:45:00,0.91,adv_netflix_001,creative_video_002,youtube_discovery,mobile,US,false
imp_048,user_47104,Instagram_Stories,Instagram Stories,Social,2024-01-20 15:20:15,0.53,adv_netflix_001,creative_social_002,instagram_stories,desktop,US,false
imp_049,user_48128,SEM_Q1,Search Q1,Search,2024-01-21 08:40:00,2.58,adv_netflix_001,creative_search_001,google_search,mobile,US,false
imp_050,user_49152,DSP_Awareness,Display Awareness,Display,2024-01-21 09:55:15,0.83,adv_netflix_001,creative_display_001,iab_300x250,desktop,US,false
